Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQJsAPwTPIF66p22 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/recepcaoevento/MDFeRecepcaoEventoStub.java - startLine: 95;startOffset: 121;endOffset: 139;endLine: 95,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQJsAPwTPIF66p21 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/recepcaoevento/MDFeRecepcaoEventoStub.java - startLine: 154;startOffset: 16;endOffset: 18;endLine: 154,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQIxAPwTPIF66p2y Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/retornorecepcao/MDFeRetRecepcaoStub.java - startLine: 95;startOffset: 116;endOffset: 131;endLine: 95,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQIxAPwTPIF66p2x Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/retornorecepcao/MDFeRetRecepcaoStub.java - startLine: 154;startOffset: 16;endOffset: 18;endLine: 154,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQJRAPwTPIF66p20 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/statusservico/MDFeStatusServicoStub.java - startLine: 96;startOffset: 121;endOffset: 141;endLine: 96,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQJRAPwTPIF66p2z Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/statusservico/MDFeStatusServicoStub.java - startLine: 155;startOffset: 16;endOffset: 18;endLine: 155,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQuiAPwTPIF66p3Q Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe/webservices/distribuicao/NFeDistribuicaoDFeSoapStub.java - startLine: 119;startOffset: 16;endOffset: 18;endLine: 119,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQFnAPwTPIF66p2s Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/downloadnf/NfeDownloadNFStub.java - startLine: 92;startOffset: 108;endOffset: 121;endLine: 92,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQFnAPwTPIF66p2r Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/downloadnf/NfeDownloadNFStub.java - startLine: 151;startOffset: 16;endOffset: 18;endLine: 151,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQC9APwTPIF66p2d Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/CadConsultaCadastro2Stub.java - startLine: 77;startOffset: 60;endOffset: 77;endLine: 77,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQC9APwTPIF66p2c Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/CadConsultaCadastro2Stub.java - startLine: 136;startOffset: 16;endOffset: 18;endLine: 136,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQDrAPwTPIF66p2j Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/NfeAutorizacaoStub.java - startLine: 82;startOffset: 58;endOffset: 79;endLine: 82,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQDrAPwTPIF66p2h Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/NfeAutorizacaoStub.java - startLine: 141;startOffset: 16;endOffset: 18;endLine: 141,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQDrAPwTPIF66p2k Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/NfeAutorizacaoStub.java - startLine: 148;startOffset: 55;endOffset: 73;endLine: 148,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQDrAPwTPIF66p2i Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/NfeAutorizacaoStub.java - startLine: 207;startOffset: 16;endOffset: 18;endLine: 207,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQDMAPwTPIF66p2e Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/NfeConsulta2Stub.java - startLine: 78;startOffset: 49;endOffset: 63;endLine: 78,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQCrAPwTPIF66p2b Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/NfeInutilizacao2Stub.java - startLine: 73;startOffset: 57;endOffset: 75;endLine: 73,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQCrAPwTPIF66p2a Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/NfeInutilizacao2Stub.java - startLine: 132;startOffset: 16;endOffset: 18;endLine: 132,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEP-5APwTPIF66p2Z Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/NfeRetAutorizacaoStub.java - startLine: 77;startOffset: 61;endOffset: 82;endLine: 77,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEP-5APwTPIF66p2Y Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/NfeRetAutorizacaoStub.java - startLine: 136;startOffset: 16;endOffset: 18;endLine: 136,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQDbAPwTPIF66p2g Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/RecepcaoEventoStub.java - startLine: 80;startOffset: 54;endOffset: 71;endLine: 80,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQDbAPwTPIF66p2f Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/RecepcaoEventoStub.java - startLine: 139;startOffset: 16;endOffset: 18;endLine: 139,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQFKAPwTPIF66p2q Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/nota/consulta/NfeConsulta2Stub.java - startLine: 71;startOffset: 49;endOffset: 63;endLine: 71,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQFKAPwTPIF66p2p Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/nota/consulta/NfeConsulta2Stub.java - startLine: 130;startOffset: 16;endOffset: 18;endLine: 130,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQE4APwTPIF66p2o Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/nota/consulta/NfeConsultaStub.java - startLine: 90;startOffset: 109;endOffset: 122;endLine: 90,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQE4APwTPIF66p2n Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/nota/consulta/NfeConsultaStub.java - startLine: 149;startOffset: 16;endOffset: 18;endLine: 149,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQEAAPwTPIF66p2m Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/statusservico/consulta/NfeStatusServico2Stub.java - startLine: 60;startOffset: 59;endOffset: 78;endLine: 60,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQEAAPwTPIF66p2l Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/statusservico/consulta/NfeStatusServico2Stub.java - startLine: 119;startOffset: 16;endOffset: 18;endLine: 119,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQqpAPwTPIF66p3H Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/consultacadastro/CadConsultaCadastro4Stub.java - startLine: 169;startOffset: 16;endOffset: 18;endLine: 169,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQrEAPwTPIF66p3I Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/consultacadastro/MTCadConsultaCadastro4Stub.java - startLine: 171;startOffset: 16;endOffset: 18;endLine: 171,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQsTAPwTPIF66p3M Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/gerado/NFeAutorizacao4Stub.java - startLine: 147;startOffset: 16;endOffset: 18;endLine: 147,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQsTAPwTPIF66p3N Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/gerado/NFeAutorizacao4Stub.java - startLine: 213;startOffset: 16;endOffset: 18;endLine: 213,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQslAPwTPIF66p3O Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/gerado/NFeConsultaProtocolo4Stub.java - startLine: 142;startOffset: 16;endOffset: 18;endLine: 142,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQr1APwTPIF66p3K Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/gerado/NFeInutilizacao4Stub.java - startLine: 143;startOffset: 16;endOffset: 18;endLine: 143,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQsDAPwTPIF66p3L Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/gerado/NFeRecepcaoEvento4Stub.java - startLine: 142;startOffset: 16;endOffset: 18;endLine: 142,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQrjAPwTPIF66p3J Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/gerado/NFeRetAutorizacao4Stub.java - startLine: 142;startOffset: 16;endOffset: 18;endLine: 142,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQtJAPwTPIF66p3P Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/statusservico/consulta/NfeStatusServico4Stub.java - startLine: 147;startOffset: 16;endOffset: 18;endLine: 147,Maintenance (Code Smells)
To-Do,New,Normal,"xml:S125:  ""Remove this commented out code.""",MAJOR,5min,Key: AYTIxMd1iIoCD2TGCWci Path: com.github.wmixvideo:nfe3:pom.xml - startLine: 140;startOffset: 8;endOffset: 36;endLine: 143,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYTIxMbAiIoCD2TGCWaK Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte/webservices/distribuicao/WSDistribuicaoCTe.java - startLine: 78;startOffset: 22;endOffset: 31;endLine: 78,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal http://www.w3.org/2001/XMLSchema 7 times.""",CRITICAL,16min,Key: AYTIxMcQiIoCD2TGCWcM Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFXMLValidador.java - startLine: 18;startOffset: 70;endOffset: 104;endLine: 18,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5961:  ""Refactor this method to reduce the number of assertions from 122 to less than 25.""",MAJOR,20min,Key: AYTIxK57iIoCD2TGCVun Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/DFUnidadeFederativaTest.java - startLine: 9;startOffset: 16;endOffset: 50;endLine: 9,Maintenance (Code Smells)
To-Do,New,Normal,"java:S116:  ""Rename this field CNPJ to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxMJ_iIoCD2TGCWRH Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/evento/NFEventoResumo.java - startLine: 24;startOffset: 19;endOffset: 23;endLine: 24,Maintenance (Code Smells)
To-Do,New,Normal,"java:S116:  ""Rename this field CPF to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxMJ_iIoCD2TGCWRI Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/evento/NFEventoResumo.java - startLine: 27;startOffset: 19;endOffset: 22;endLine: 27,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxMJ_iIoCD2TGCWRF Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/evento/NFEventoResumo.java - startLine: 72;startOffset: 41;endOffset: 45;endLine: 72,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxMJ_iIoCD2TGCWRG Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/evento/NFEventoResumo.java - startLine: 81;startOffset: 40;endOffset: 43;endLine: 81,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1130:  ""Remove the declaration of thrown exception 'java.io.IOException' as it cannot be thrown from constructor's body.""",MINOR,5min,Key: AYTIxL5xiIoCD2TGCWOR Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/WSFacade.java - startLine: 35;startOffset: 51;endOffset: 62;endLine: 35,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1130:  ""Remove the declaration of thrown exception 'java.security.cert.CertificateException' as it cannot be thrown from constructor's body.""",MINOR,5min,Key: AYTIxL5xiIoCD2TGCWOS Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/WSFacade.java - startLine: 35;startOffset: 160;endOffset: 180;endLine: 35,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYTIxL7eiIoCD2TGCWQq Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/WSInutilizacao.java - startLine: 51;startOffset: 109;endOffset: 118;endLine: 51,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1172:  ""Remove this unused method parameter modelo.""",MAJOR,5min,Key: AYTIxL7eiIoCD2TGCWQt Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/WSInutilizacao.java - startLine: 51;startOffset: 94;endOffset: 100;endLine: 51,Maintenance (Code Smells)
